id;main_word;s1;s2;s3;s4;s5
41;EKRAN DOTYKOWY;Apple;Telewizor;Palec;Iphone;Telefon Komórkowy
42;AKUMULATOR;Rozładowac;Klemy;Bateria;Samochód;Auto
43;MAGGI;Przyprawa;Zupa;Smak;Płyn;Braz
44;ZAZDROSC;Miłosc;Uczucie;Chłopak;Choroba;Dziewczyna
45;POKER;Brydż;Hazard;Kasyno;Gra;Karty
46;AKTOR;Scena;Sztuka;Telewizja;Teatr;Film
47;TAMAGOTCHI;Kupa;Tama Jajo;Japonia;Zwierze;Zabawka
48;BOŻE NARODZENIE;Gwiazdka;Bóg;Chrzescijanie;Opłatek;Choinka
49;JAGUAR;Kot;Model Auta;Samochód;Zwierze;Pantera
50;SKRZYDŁO;Samolot;Kurczak;Lotnisko;Latanie;Ptak
51;SMRÓD;Pot;Fetor;Zapach;Kupa;Nos
52;SENTYMENT;Pamiec;Miec;Słabosc;Wspomnienie;Czułosc
53;PAPRYKA;Pestka;Czerwona;Ostra;Warzywo;Chili
54;KASKADER;Skakac;Niebezpieczenstwo;Aktor;Film;Zastepowac
55;BOMBKA;Boże Narodzenie;Ozdoba;Okragła;Mała;Choinka
56;SYMULACJA;Komputerowa;Fałsz;Samolot;Prognozowanie;Udawanie
57;SANKI;Dzieci;Zima;Jezdzic;Snieg;Kulig
58;SILNIK TŁOKOWY;Diesel;Parowy;Naped;Spalinowy;Samochód
59;BOTWINKA;Zimny;Zupa;Buraki;Młode;Czerwona
60;LAKIER;Pedzelek;Usztywnic;Włosy;Paznokiec;Fryzura
61;PILOTKA;Samolot;Wycieczka;Czapka;Latac;Telewizor
62;ZACMIENIE;Ksieżyc;Wampiry;Słonce;Oczy;Zasłaniac
63;URODZINY;Obchodzic;Prezenty;Imieniny;Imprez;Sto Lat
64;LEGITYMACJA;Studencka;Zdjecie;Służbowa;Partyjna;Zniżka
65;BOTOKS;Zmarszczki;Kiełbasa;Strzykawka;Jedrny;Usta
66;SEZAM;Otwierac;Ziarno;Paluszki;Alibaba;Słodki
67;SKOKI NARCIARSKIE;Zima;Snieg;Sport;Adam Małysz;Telemark
68;ŁOSOS;Pomaranczowy;Ryba;Karp;Sushi;Norweski
69;TURYSTA;Osoba;Kraj;Zwiedzac;Podróż;Plecak
70;MYSLIWIEC;Samolot;Kłusownik;Polowanie;F 16;Mig
71;ŻONA;Narzeczona;Obraczki;Slub;Kobieta;Maż
72;WŁADIMIR PUTIN;Judo;Miedwiediew;Prezydent;Polityk;Rosja
73;PRZEBÓJ;Hit;Utwór;Lista;Muzyka;Szlagier
74;CZARNA SKRZYNKA;Katastrofa;Biały;Komoda;Zapis Danych;Samolot
75;PIES;Smycz;Kot;Przyjaciel;Zwierze;Czworonóg
76;POGRZEB;Smierc;Trumna;Pochowac;Cmentarz;Nieboszczyk
77;ROBOT;R2-d2;Maszyna;Kuchnia;Mikser;Ciasto
78;GADŻET;Lans;Chwalic Sie;Reklamowy;Inspektor;Zabawka
79;ROBAK;Ksiadz;Pan Tadeusz;Ziemia;Insekt;Zwierze
80;KUJON;Nauka;Uczen;Oceny;Ksiażki;Wiedza
81;JUDASZ ISKARIOTA;Wizjer;Pocałunek;Jezus Chrystus;Srebrniki;Zdrada
82;PERON;Pociag;Kolej;Dworzec;Platforma;Pasażer
83;NUDA;Nic;Rzeczownik;Pustka;Robic;Dziac Sie
84;PESTKA;Srodek;Owoc;Łatwy;Nasiona;Sliwka
85;AMUNICJA;Bron;Kula;Pocisk;Naboje;Pistolet
86;WUWUZELA;Hałas;Traba;Afryka;Mundial;Mistrzostwa Swiata
87;POLITOLOGIA;Socjologia;Kierunek;Władza;Studia;Premier
88;POCAHONTAS;Ksieżniczka;Konkwistadorzy;Indianka;Wigwam;Bajka
89;KIERPCE;Buty;Góral;Skóra;Ludowe;Tatry
90;KINESKOP;Monitor;Telewizor;Lampa;Płaski;Ekran
91;MOJITO;Limonka;Drink;Alkohol;Rodzaj;Rum
92;WYTRYCH;Drzwi;Pasowac;Klucz;Włamac;Otwierac
93;KOSTKA;Gra;Noga;Stopa;Gitara;Rubik
94;INDOCHINY;Wietnam;Ryż;Tajlandia;Laos;Oczy
95;ZIARNO;Rosnac;Słonecznik;Siac;Groch;Program
96;DZIEJE APOSTOLSKIE;Biblia;Swiety;Nowy Testament;Ewangelia;Ksiega
97;ABSOLUT;Byt;Wódka;Bóg;Alkohol;Doskonały
98;PREMIERA;Film;Uroczystosc;Przedstawienie;Pokaz;Pierwszy
99;COUNTRY;Western;Bandżo;Wioska;Mragowo;Muzyka
100;NIE;Negatyw;Zaprzeczenie;Odmowa;Brak;Tak
101;HIACYNT;Kwiat;Roslina;Fiolet;Imie;Doniczka
102;KONFITURY;Owoce;Dżem;Słoik;Marmolada;Wek
103;FRYZJER;Włosy;Czesanie;Salon;Strzyżenie;Zawód
104;SEPLENIC;Zły;Jezyk;Wyrazny;Michnik;Mówic
105;MISKA;Sałatka;Pies;Pranie;Okragła;Plastikowa
106;AUTOSTRADA;Droga;Opłaty;Winieta;Zgubic;Szybki
107;BURZA MÓZGÓW;Problem;Myslec;Pomysł;Grupa;Pisac
108;GRZEJNIK;Ciepło;Piec;żebra;Kaloryfer;Parapet
109;NAŁÓG;Alkoholizm;Papierosy;Przymus;Uzależnienie;Głód
110;BLACHARA;Dyskoteka;Laska;Auto;Klepac;Samochód
111;KOK;Upiac;Włosy;Fryzura;Babcia;Slub
112;CHANDRA;Złosc;Jesien;Smutek;Depresja;Przygnebienie
113;DZIECKO ROSEMARY;Roman Polanski;Ira Levin;Egzorcysta;Ekranizacja;Krzysztof Komeda
114;BRYK;Lenistwo;Odpisywac;Opracowanie;Streszczenie;Siagac
115;FAUNA;Flora;Zwierzeta;Kwiaty;Bóstwo;Rosliny
116;PEDZELEK;Malowac;Farby;Akwarele;Plastyka;Sztuka
117;CESARSKIE CIECIE;Poród;Dziecko;Skalpel;Ciaża;Chirurg
118;KAMERDYNER;Pomoc;Lokaj;Alfred;Obsługa;Majordomus
119;HERBATA;Napar;Kawa;Czaj;Napój;Ranek
120;PIOSENKA;Spiewac;Muzyka;Nucic;Słuchac;Nuty
121;OKULISTA;Lekarz;Okulary;Wada Wzroku;Oczy;Zawód
122;KOŁATKA;Kosciol;Uderzac;Pukac;Drzwi;Dzwonek
123;DYKTAFON;Wykład;Nagrywac;Mówic;Dziennikarz;Wywiad
124;SZKORBUT;Witaminy;Choroba;Marynarze;Zeby;Niedobór
125;PROSTYTUTKA;Tir;Pieniadze;Dziwka;Alfons;Dom Towarzyski
126;KES;Kawałek;Jesc;Mały;Łyk;Gryz
127;LUSTRZANKA;Pstrykac;Zwierciadło;Zdjecia;Fotograf;Aparat
128;KAMUFLAŻ;Ukryc Sie;Maskowanie;Przebranie;Zmyłka;Moro
129;PRZYSTANEK ALASKA;Fleichman;Łos;Północ;Usa;Serial
130;WIKLINA;Gałazka;Swieconka;Koszyk;Plesc;Suchy
131;SLASK;Górnik;Kopalnia;Wegiel;Kiełbasa;Dolny I Górny
132;JAN KOCHANOWSKI;Czrnolas;Fraszki;Treny;Urszulka;Pisarz
133;LOGIN;Nick;Hasło;Nazwa Użytkownika;Rejestracja;Konto
134;PIETA;Palce;Wada;Achilles;Stopa;Słaby Punkt
135;SMOCZEK;Cumelek;Ssanie;Dziecko;Ogien;Buzia
136;FRANCJA;N. Sarkozy;Paryż;Wieża Eiffla;Slimak;żabojady
137;WROCŁAW;Odra;Breslau;Stolica Dolnego Slaska;Jan Miodek;Ostrów Tumski
138;TRAMPKI;Szmaciaki;Buty;Biegac;Tenisówki;Adidasy
139;SUROWY;Jedzenie;Ostry;Pieczony;Kara;Gotowac
140;JAPONKA;Klapki;Oczy;Azjatka;Kimono;Chinka
141;ABOLICJA;Orzeczenie;Umorzenie;Kara;Sad;Amnestia
142;KRZYŻAK;141;Niemcy;Grunwald;Zakon;Pajak
143;ESPRESSO;Herbata;Mała;Woda;Kawa;Latte
144;CZAJNIK BEZPRZEWODOWY;Prad;Herbata;Gotowac;Woda;Wrzatek
145;OBWODNICA;Trasa;Droga;Miasto;Jechac;Omijac
146;BUSOLA;Gps;Północ;Kierunek;Wskaznik;Kompas
147;DYM;Komin;Dach;Ogien;Unosic Sie;Palic
148;KASIA I TOMEK;Serial;Film;Tvn;Bugajewicz;Komedia
149;SZKIC;Brudno;Ołówek;Kontur;Rysunek;Malowac
150;SALA GIMNASTYCZNA;Cwiczenia;Sport;Wychowanie Fizyczne;Hala;Szkoła
151;DOPALACZ;Narkotyk;Stymulant;Energetyczny;Pobudzenie;Legalnosc
152;GRYZC;Zab;Kosc;Dziecko;Sumienie;Jesc
153;PROHIBICJA;Ameryka;Spożywac;Alkohol;Zakaz;Pic
154;MAGISTER;Studia;Praca;Stopien;Doktor;Licencjat
155;KRWINKA CZERWONA;Tetnica;Płynac;żyła;Krew;Tlen
156;ANDRUTY;Ciastka;Wafel;Opłatek;Słodki;Cienki
157;NOSFERATU;Krew;Horror;Film;Drakula;Wampir
158;BROWAR;Piwo;Puszka;Pasteryzowac;Chmiel;Lager
159;MOC;Energia;Siła;Słabosc;Wat;Władza
160;LATAWIEC;Zabawka;Puszczac;Wiatr;Latac;Sznurek
161;PŁETWY;Stopa;Nurek;Ster;Ryba;Pływac
162;KRZESIWO;Iskra;Rozpałka;Kamien;Ogien;Krzemien
163;KANAPA;Łóżko;Sofa;Siedzisko;Telewizor;Wersalka
164;TABASCO;Chili;Ostry;Wsciekły Pies;Sos;Wódka
165;GÓWNO;Robic;Kał;Kupa;Psie;Sikac
166;INKAUST;Rodzaj;Atrament;Pisac;Kałamarz;Pióro
167;INTELIGENCJA;Umysł;Iloraz;Iq;Mózg;Madrosc
168;PUMEKS;Pieta;Skóra;Wulkan;Zcierac;Stopa
169;POKAZ MODY;Modelka;Projektanci;Kreacja;Ubrania;Wybieg
170;ODŻYWKA;Włosy;Szampon;Elektryzowac;Myc;Głowa
171;BLONDYN;Jasne Włosy;Brunet;Swinski;Szatyn;Głupota
172;REANIMACJA;Klatka Piersiowa;Sztuczne Oddychanie;Serce;Pierwsza Pomoc;Resuscytacja
173;SLEDZ;Ryba;Szukac;Wódka;Namiot;Ogórek
174;ŻWIREK I MUCHOMOREK;Mech;Paproc;Wigura;Bajka;Grzyb
175;JAK ŁYSE KONIE;Starz Y Przyjaciele;Włosy;Klacz;Znajomosc;Długo
176;MUNDIAL;Piłka Nożna;Puchar;Futbol;Gra;Mistrzostwa Swiata
177;DYNAMO;Ciemno;Koło;Prad;Swiatło;Rower
178;BIAŁA FLAGA;Czarny;Choragiew;Republika;Poddac Sie;Naród
179;OFERMA;Niezdara;Udac Sie;Gapa;Fajtłapa;Fujara
180;JEDNOSLAD;Rower;Motocykl;Dwa;Odcisk;Koło
181;SEKSAPIL;Kobieta;Urok;Uwodzenie;Zgrabna;Czar
182;OKRET PODWODNY;U-boot;Pływac;Statek;Łódz;Wojna
183;JOGURT;Kefir;Owocowy;Mleko;Jogobella;Pic
184;NIEMCY;Kraj;Panstwo;Berlin;Sasiad;A. Merkel
185;SERNIK;Placek;Deser;Ciasto;Twaróg;Bakalie
186;SKROBLOWAC;Portal Społecznosciowy;Słuchac;Muzyka;Ranking;Przesyłac
187;KATAKANA;Klin;Japonia;Litera;Hiragana;Pismo
188;KATOMIERZ;Ostry;Rozwarty;Geometria;Piórnik;Linijka
189;KURZ;Pył;Brud;Sprzatac;Alergia;Odkurzacz
190;KUFEL;Piana;Pub;Szklanka;Piwo;Browar
191;KOSTKA BRUKOWA;Cegła;Granit;Podjazd;Układac;Chodnik
192;SANATORIUM;Uzdrowisko;Kurort;Niepełnosprawny;Stary;Szpital
193;OBOWIAZEK;Wzywac;Przymus;Zadanie;Miec;Prawo
194;TABLICA;Kreda;Korkowa;Mendelejew;Nauczyciel;Szkoła
195;KONTENER;Turbina;Wozic;Cieżarówka;Metal;Statek
196;SRODKI NA KONCIE;Lokata;Kasa;Depozyt;Pieniadze;Bank
197;FUCHA;Dorabiac;Praca;Robota;Niezła;Posada
198;MNICH;Ksiadz;Zakon;Duchowny;Pustelnik;Braciszek
199;NIANIA;Pomoc;Opiekunka;Frania;Super;Dzieci
200;MORAŁ;Zakonczenie;Nauka;Bajka;Puenta;Wniosek
201;KABARETKI;Ponczocha;Moulin Rouge;Rajstopy;Nogi;Kankan
202;OSZUSTWO;Kłamstwo;Przestepstwo;Fałsz;Nieprawosc;Bład
203;POBITE GARY;Krzyk;Chowac;Oszukiwanie;Zabawa;Złamane
204;GOKART;Formuła 1;Wyscigi;Tor;Bolid;Robert Kubica
205;KAMBODŻA;Khmerzy;Chiny;Tajlandia;Wietnam;Pol Pot
206;KOMIKS;Scenariusz;Czytac;Rysunek;Chmurka;Obrazkowy
207;FISTASZEK;Ziemia;Arachidowy;Łuskanie;Łupina;Orzech
208;REWITALIZACJA;Siła;Odnowienie;Modernizacja;Spa;Ożywienie
209;UCZONY;Ksiażka;Uniwersytet;Erudyta;Wiedza;Szkoła
210;FOKUS;Ogniskowac;Ford;Nauka;Wywiad;Gazeta
211;PRAŻYNKI;Chipsy;Jesc;Ziemniak;Chrupki;Solone
212;MTV;Stacja;Muzyka;Teledysk;Telewizja;South Park
213;FESTIWAL;Opole;Jarocin;Sopot;Koncert;Malta
214;MUSICAL;Spiewac;Przedstawienie;Muzyka;Teatr;Roma
215;SIEROCINIEC;Rzucac;Horror;Film;Dom Dziecka;Rodzice
216;PARAFINA;Lampa Naftowa;Wosk;Knot;Swieczka;Zapalac
217;HENRYK SIENKIEWICZ;Pisarz;Quo Vadis;Potop;Trylogia;Nobel
218;SUTEK;Piers;Brodawka;Gruczoł;Ssanie;Mleko
219;WANDAL;Plemie;Chuligan;Niszczyc;Szkoda;Psuc
220;DOROŻKA;Slub;Wóz;Jechac;Kareta;Kon
221;KLOZET;Ubikacja;Deska;Łazienka;Sedes;Wc
222;SZEJK;Władca;Bogaty;Arabski;Mleczny;Naftowy
223;SUCHAREK;Twardy;Dieta;Czerstwy;Głód;Chleb
224;MALARIA;Goraczka;Syf;Tropiki;Afryka;Febra
225;KORT;Tenis;Boisko;Gra;Rakieta;Siatka
226;KODEKS KARNY;Prawo;Sad;Przepisy;Wykroczenie;Przestepstwo
227;STRIPTIZER;Night Club;Rozbierac;Wieczór Panienski;Tancerz;Chippendales
228;KOKAINA;Mak;Amfetamina;Prochy;Ameryka Południowa;Marichuana
229;KIESZEN;Kangur;Spodnie;Dziura;Reka;Wkładac
230;ADWOKAT;Alkohol;Mecenas;Prawnik;Rozprawa;Sad
231;SKLEP INTERNETOWY;Market;Kupowac;Wirtual;Zamawiac;Siec
232;SZYNA;Tory;Pociag;Tramwaj;Metal;Długi
233;GERMANSCY OPRAWCY;Niemcy;Napastnik;Okrutny;Rosja;Kat
234;ZŁOTY SRODEK;Arystoteles;Panaceum;Skrajnosc;Aurea Mediocritas;Kompromis
235;PUB;Klub;Impreza;Bar;Kumple;Piwo
236;TACZKA;Ogród;Jeden;Koło;Budowa;Przewozic
237;RZEŻUCHA;Wiosna;Jesc;Wata;Roslina;Wielkanoc
238;INFOLINIA;Call Center;Telefon;Numer;Komórka;Wiedza
239;GRUSZKA;Drzewo;Warzywo;Owoc;Jabłko;Jesc
240;POCZEKLANIA;Miejsce;Wizyta;Lekarz;Kolejka;Dworzec
241;KUTERNOGA;Drewniana;Utykac;Kaleka;Proteza;Kulawy
242;ŻYRANT;Pieniadze;Pożyczka;Umowa;Kredyt;Gwarant
243;OCZEPINY;Para Młoda;Goscie;Zabawa;Wesele;Slub
244;LESZCZ;Ryba;Zespół;Kombinuj Dziewczyno;Osci;Maciej Miecznikowski
245;PUSTYNIA;Piasek;Gobi;Upał;Sucho;Sahara
246;BLOK;Budynek;Rysunkowy;Czekoladowy;Techniczny;Osiedle
247;STUDENT;Juwenalia;żak;Kolokwium;Uczelnia;Sesja
248;KONIK NA BUEGUNACH;Urszula;Bujac Sie;Zwierze;Dziecko;Zabawka
249;BRUDERSZAFT;Całowac Sie;Alkohol;Wódka;Braterstwo;Kieliszek
250;SZYBERDACH;Sufit;Auto;Samochód;Okno;Otwór
251;MROWISKO;Owad;Kopiec;Faraonka;Las;Igła
252;NICPON;Urwis;Rozrabiaka;Dziecko;Niegrzeczny;Gargamel
253;KALIBER;Amunicja;44;Rozmiar;Pistolet;Hip-hop
254;5.10.15;Ubranka;Telewizja;Program;Sklep;Dzieci
255;ZEGAR;Czas;Stoper;Słonce;Na Reke;Wskazówka
256;WAŻ;Owoc;Biblia;Boa Dusiciel;Ogród;Pyton
257;BOAZERIA;Okładzina;Listwy;Drewno;Dekoracja;Sciana
258;WIEDZA;O Społeczenstwie;Powszechna;Madrosc;Głód;Nauka
259;KOPYTO;Podkowa;Noga;Kon;Konczyna;Stajnia
260;WYROK;Przestepstwo;Skazany;Sad;Wiezienie;Orzeczenie
261;ZMIERZCH;Słonce;Zachodzic;Wielka Miłosc;Wampiry;Saga
262;TRÓJKAT BERMUDZKI;Miejsce;Atlantyk;Znikac;Tajemnica;Trójkat Bermudzki
263;BAK;Paliwo;Zbiornik;Benzyna;Wleac;Kanister
264;DYSKOTEKA;Alkohol;Impreza;Dj;Taniec;Zabawa
265;OTELLO;Desdemona;Tragedia;William Szekspir;Wenecja;Sztuka
266;TOUR DE FRANCE;Wieża Eiffla;Lance Armstrong;Paryż;Kolarstwo;Wyscig
267;KARTEL;Narkotykowy;Opec;Przedsiebiorstwo;Rynek;Zmowa
268;AKADEMIA;Sztuk Pieknych;Student;Medyczna;Stal;Pan Kleks
269;KOMINIARKA;Głowa;Napad;Czapka;Czarne;Złodziej
270;JABŁKO;Szarlotka;Czerwone;Rajskie;Owoc;Lobo
271;TOALETA;Papier;Spłuczka;Wc;Poranna;Sedes
272;STRATEGIA;Plan;Przewidywac;Ustalac;Wojna;Napoleon
273;KASZUBY;Koscierzyna;Bory Tucholskie;Region Polski;Czarne Podniebienie;Pomorze
274;POLEDWICZKA;Mieso;Jesc;Kotlet;Wołowina;Swinia
275;CZESKI FILM;Ogladac;Słowacja;Praga;Kino;Telewizja
276;MIKSER;Mieszac;Płyta;Dj;Melakser;Robot Kuchenny
277;MILA;Sebastian;Morska;Zielona;Jednostka Długosci;Tysiac
278;KASYNO;Wygrana;Ruletka;Krupier;żeton;Royal
279;GIEWONT;Tatry;Góra;Wspinaczka;Szczyt;Krzyż
280;KARTY;Pasjans;Sim;Poker;Paier;Tabu
281;LOKÓWKA;Wałki;Grzac;Krecic;Włosy;Zawijac
282;PRIMA APRILIS;Psikus;Kwiecien;Obyczaj;Kawał;żartowac
283;BEZA;Krucha;Białko;Ciastko;Piana;Sołdka
284;GRYPS;Skazany;Wiezienie;Wiadomosc;Szyfr;List
285;BRZASK;Swit;Ranek;Wstawac;Słonce;Wschód
286;PACZEK;Rozkwitac;Tłusty Czwartek;Z Dżemem;Tulipan;Kwiat
287;PERFEKCJONISTA;Od A Do Zet;Pedant;Saper;Dokładny;Na Ostatni Guzik
288;KRADZIEŻ;Kieszonkowiec;Ograbic;Włamanie;Złodziej;Rabunek
289;RODOWÓD;Pies;Wywodzic Sie;Rasa;Wystawa;Potomstwo
290;KONIEC SWIATA;Tragedia;Kalendarz;Zagłada;Sad Ostateczny;Katastrofa
291;RUBIN;Telewizor;Kamien;Biżuteria;Czerwony;Pierscionek
292;MONOPOL;Sklep;Alkohol;Eurobiznes;Gra Planszowa;Struktura Rynkowa
293;FOTEL;Bujany;Krzesło;Wygodny;Na Biegunach;Siedziec
294;BROKAT;Odblaskowe;Metaliczne;Błyszczace;Paznokcie;Drobinki
295;KOKON;Jedwabink;Larwa;Osłona;Motyl;Przasc
296;KONCENRAT;Rozpuscic;Pomidorowy;Zageszczone;Słoik;Zupa
297;RELAKS;Rozładowanie Napiecia;Ulga;Odpoczynek;Odpreżenie;Natura
298;BAZYLISZEK;Legenda;Lustro;Spojrzenie;Jaszczur;Oczy
299;KREM DO RAK;Mróz;Dłonie;Smarowac;Nawilżac;Gliceryna
300;KRAKERS;Papuga;Paluszki;Chrupkie;Słone;Ciastko
301;MANKUN;Duży;Futro;Puszysty;Kot;Rasa
302;GRA HAZARDOWA;Zakłady;Ruletka;Poker;Kasyno;Las Vegas
303;RYZYKO;Podejmowac;Niebezpieczenstwo;Las Vegas;Casino;Niepewnosc
304;ANTRACYT;Kamien;Kolor;Skała;Biżuteria;Wegiel
305;POPIELNICZKA;Papieros;Niedopałek;Kiep;Popiół;Palic
306;GESTYKULOWAC;Pokazywac;Rece;Wskazywac;Ruszac;Opisywac
307;TAPICERKA;Samochód;Skóra;Meble;Obicie;Pokrycie
308;TORBA;Kangur;Kobiety;Na Ramie;Kopertówka;Podróż
309;KATEDRA;Bazylika;Kosciół;Swiatynia;Biskup;Notre-dame
310;UROK;Magia;Klatwa;Osobisty;Czar;Wrażenie
311;KOPIA;Bron;Zapasowa;Odbitka;Pika;Husarska
312;POMIDOR;Gra;Przecier;Warzywo;Ogórek;Zupa
313;BIZON;Kombajn;Preria;Ameryka Północna;Wódka;żubr
314;UWODZIC;Randka;Pokusa;Wabic;Podrywac;Przyciagac
315;RADIO;Kaseta;Antena;Muzyka;Eter;Zet
316;OMEGA;Zegarek;Koniec;Predkosc Katowa;Litera Grecka;Alfa
317;SŁABOSC;Silny;Niemoc;Wola;Czuły Punkt;Pieta Achillesa
318;GARNEK;Zupa;Przykrywka;Sagan;Gotowac;Jedzenie
319;PODPIS;Parafka;Imie I Nazwisko;Własnoreczny;Autograf;Dokument
320;POSTERUNEK;Policja;Stac;Komisariat;Komenda;Trzynasty
321;WIELORYB;Kaszalot;Walen;Najwiekszy;Fontanna;Płetwal Błekitny
322;MARS;Baton;Bóg Wojny;Kosmos;Słonce;Planeta
323;RYŻ;Ziarno;Pole;Chinczycy;Gotowac;Parboidalny
324;NURKOWNIE;Maska;Płetwy;Woda;Egipt;Butla
325;ABEL;Kain;Zabic;Brat;Set;Biblia
326;KENT;Para;Karty;Znak;Pan;Gra
327;LOSOWANIE;Numerek;Kupon;Lotto;Kulka;Eliminacje
328;CENA;Kupowac;Pieniadze;Detaliczna;Kwota;Wartosc
329;PROKURENT;Zarzad;Krs;Spółka;Pełnomocnik;Przedstawiciel
330;SERUM;Kuracja;Twarz;Kosmetyk;Surowica;Krem
331;BIKINI;Kapiel;Kostium;Plaża;Słonce;Opalanie
332;BURACZKI;Cwikła;Czerwony;Warzywo;Kotlet;Cukrowy
333;PULSOMETR;Szyja;Serce;Urzadzenie;Pomiar;Tetno
334;BLIZNA;Szwy;Skóra;Poparzenie;Szrama;Rana
335;PLUSKWA;Insekt;Wesz;Owad;Podsłuch;Dezynsekcja
336;KOLOKWIUM;Test;Sesja;Zaliczenie;Studia;Sprawdzian
337;MOUNT EVEREST;Himalaje;Szczyt;Wysokosc;Góra;Osmiotysiecznik
338;CHORAGIEW;Flaga;Godło;Bialo Czerwona;Bandera;Sztandar
339;RACZKI;Cukierki;Kókółki;Szczypce;Zwierze Wodne;Krab
340;GNIAZDO;Dom;Jaja;Wtyczka;Ptak;Gałezie
341;KAŁASZNIKOW;Karabin;Automat;Rosja;Wojsko;Bron
342;PANDORA;Puszka;Otworzyc;Epimeteusz;Mitologia;Nieszczescia
343;FIAT 126P;Samochód;Bis;Bagażnik;Auto;Maluch
344;PRAWDA;Szczera;Rzeczywistosc;Mówic;Fałsz;Zmyslac
345;TO I OWO;Tamto I Siamto;Program Tv;Cos Tam;Czasopismo;Magazyn Telewizyjny
346;KULIG;Zima;Zabawa;Snieg;Kon;Sanki
347;KRATER;Dziura;Lawa;Zagłebienie;Meteoryt;Wulkan
348;UZALEŻNIENIE;Używki;Odwyk;Alkohol;Bezwolny;Narkotyki
349;ROBESPIERRE;Maksymilian;Gilotyna;Jakobin;Rewolucja;Francja
350;PARAGON;Kupowac;Rachunek;Płacic;Sklep;Kasa
351;KOLCE;Jeż;Ostre;Drut Kolczasty;Róża;Kaktus
352;SCYZORYK;Szwajcarski;Harcerz;Liroy;Mały;Składany Nóż
353;NIEBIESKI;Niebo;Kolor;Woda;Zielony;Czerwony
354;TESCIOWA;Rodzina;żona;żarty;Maż;Matka
355;STANCJA;Student;Wynajem;Akademik;Pokój;Mieszkanie
356;OKULARY;Szkła Kontaktowe;Soczewki;Pan Hilary;Oczy;Nos
357;NAGRODA;Finał;Konkurs;Wyróżnienie;Medal;Dostawac
358;BLISTER;Opakowanie;Produkt;Bateria;Przezroczysty;Tabletki
359;BEKSA;Smutek;Łzy;Dziecko;Płakac;Oczy
360;ENTER;Wejscie;Wyjscie;Klawisz;Zatwierdzenie;Drzwi
